Key,bmi,gender,is_training,name
2,34.9675605536,Female,1,img_2.bmp
8,30.6158579882,Female,1,img_8.bmp
9,26.7888757396,Female,1,img_9.bmp
10,38.7327823691,Male,1,img_10.bmp
12,41.3988888889,Male,1,img_12.bmp
13,31.0491666667,Male,1,img_13.bmp
15,25.7994445547,Male,1,img_15.bmp
16,33.199527745,Male,1,img_16.bmp
17,23.5953786473,Male,1,img_17.bmp
18,41.2094594595,Male,1,img_18.bmp
19,21.3108108108,Male,1,img_19.bmp
20,26.6224852071,Male,1,img_20.bmp
21,21.6307692308,Male,1,img_21.bmp
22,41.8090397924,Male,1,img_22.bmp
23,22.3488321799,Male,1,img_23.bmp
26,35.549342838,Male,1,img_26.bmp
27,30.8511918022,Male,1,img_27.bmp
28,31.4511657215,Male,1,img_28.bmp
30,33.9023919753,Male,1,img_30.bmp
31,27.7999614198,Male,1,img_31.bmp
32,31.4703856749,Female,1,img_32.bmp
33,23.4010560147,Female,1,img_33.bmp
34,29.2252456538,Female,1,img_34.bmp
36,31.1667387543,Female,1,img_36.bmp
38,41.6866203791,Male,1,img_38.bmp
39,36.2779133046,Male,1,img_39.bmp
42,43.5334959655,Male,1,img_42.bmp
43,35.6183148808,Male,1,img_43.bmp
46,37.9321563182,Male,1,img_46.bmp
48,44.0731095679,Male,1,img_48.bmp
50,27.8220155709,Male,1,img_50.bmp
51,21.2846020761,Male,1,img_51.bmp
54,35.7277249135,Female,1,img_54.bmp
58,38.2736816406,Female,1,img_58.bmp
59,29.1772460938,Female,1,img_59.bmp
60,30.2446222222,Male,1,img_60.bmp
61,21.9960888889,Male,1,img_61.bmp
63,23.9115646259,Female,1,img_63.bmp
64,37.5852082869,Male,1,img_64.bmp
65,26.6228558699,Male,1,img_65.bmp
66,51.4892578125,Female,1,img_66.bmp
67,25.7446289062,Female,1,img_67.bmp
68,41.6866203791,Male,1,img_68.bmp
71,31.8881578947,Male,1,img_71.bmp
73,26.3096458008,Male,1,img_73.bmp
74,51.4892578125,Female,1,img_74.bmp
75,24.0283203125,Female,1,img_75.bmp
76,31.9469822485,Female,1,img_76.bmp
